configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI6482VWRS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0564LTNP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6513MHUE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3649EOLI,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6552ZYUU,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0490BSHK,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6564CSMW,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS6013DGAO,single-nucleus RNA sequencing assay,10x multiome,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI6564CSMW/@@download/IGVFFI6564CSMW.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI6587ONPF,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS0886UBIB,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane1-GEX-L1,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6596SUFR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1400IKOZ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6616VCKM,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI6418YXCM_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L004_R1_001.fastq.gz'.
IGVFFI6732FIAV,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0798CIEX,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6746NQPO,atac,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0580JTOM,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_3863_seqspec,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI6746NQPO/@@download/IGVFFI6746NQPO.yaml.gz
IGVFFI6861LAXN,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1343NAFI,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_4285_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI6861LAXN/@@download/IGVFFI6861LAXN.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI6868ZEED,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4796OCWZ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6872CBJY,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4474DSKK,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6919XSZE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4207NWMB,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7074TGSS,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2982RXPU,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day10_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7077PZSC,,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS4585PEVO,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX22-SC3_snATAC_S2,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI7077PZSC/@@download/IGVFFI7077PZSC.yaml.gz
IGVFFI7077SRCV,,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5237LXYL,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_2326_seqspec_fixed,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI7077SRCV/@@download/IGVFFI7077SRCV.yaml.gz
IGVFFI7257YBUF,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI7279OQPS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0093GHFX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7378JYZH,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2613QRQT,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
